college_name,department_name,first_step_one_subject,first_step_one_point,first_step_one_ratio,first_step_two_subject,first_step_two_point,first_step_two_ratio,first_step_three_subject,first_step_three_point,first_step_three_ratio,first_step_four_subject,first_step_four_point,first_step_four_ratio,first_step_five_subject,first_step_five_point,first_step_five_ratio,second_step_one_ratio,second_step_two_ratio,second_step_three_ratio,second_step_four_ratio,second_step_five_ratio,second_step_all_ratio,second_step_one_subject,second_step_one_point,second_step_one_all_ratio,second_step_two_subject,second_step_two_point,second_step_two_all_ratio,second_step_three_subject,second_step_three_point, second_step_three_all_ratio,second_step_four_subject,second_step_four_point,second_step_four_all_ratio,second_step_five_subject,second_step_five_point,second_step_five_all_ratio,final_order,thing,order_select
實踐大學,時尚設計學系整體造型設計組(高雄校區),國文,--,15.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、K、N)、學習歷程自述(P、Q) ,一、學測國文級分
亞洲大學,時尚設計學系時尚服裝設計組,國文,底標,8.0,英文,底標,6.0,國英,--,3.0,,,,,,,*1.00,*1.00,--,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測英文級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、K、N)、學習歷程自述(P、Q)、其他(R.手繪技巧、S.流行資訊收集) ,一、學測國文、英文之級分總和
亞洲大學,時尚設計學系服飾創意設計組,國文,底標,8.0,社會,底標,6.0,國社,--,3.0,,,,,,,*1.00,*1.00,--,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國文級分四、學測社會級分,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(F、G、I、K、N)、學習歷程自述(P、Q)、其他(R.手繪技巧、S.流行資訊收集) ,一、學測國文、社會之級分總和
實踐大學,時尚設計學系藝術創作設計組(高雄校區),國文,底標,3.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,一、面試,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、J、L、M、N)、學習歷程自述(P、Q) ,一、學測國文級分
實踐大學,時尚設計學系視覺影像設計組(高雄校區),國文,--,15.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、K、N)、學習歷程自述(P、Q) ,一、學測國文級分
東海大學,景觀學系,國文,後標,3.0,英文,--,3.0,,,,,,,,,,*1.00,*1.00,,,,20%,審查資料,--,20%,面試,--,40%,,,,,,,,,,一、審查資料二、面試三、學科能力測驗成績,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、G、I、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文之級分總和　二、學測國文級分　三、學測英文級分
中國文化大學,景觀學系,國文,--,--,英文,後標,3,社會,--,--,自然,--,--,,,,*1.00,*2.00,*1.00,*2.00,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、審查資料二、面試三、學科能力測驗成績四、學測自然級分,項目：修課紀錄(A)、課程學習成果(C、D、E)、多元表現(F、G、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會、自然之級分總和
國立嘉義大學,景觀學系,國文,均標,--,數學B,均標,--,社會,--,--,自然,--,--,國數B社自,--,3,*1.00,*1.00,*1.00,*1.00,--,50%,審查資料,--,50%,面試,--,20%,,,,,,,,,,一、學測國文級分二、學測自然級分三、學測社會級分四、面試,項目：修課紀錄(A)、課程學習成果(B、C、D、E)、多元表現(F、J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、數學B、社會、自然之級分總和　二、學測國文級分　三、學測自然級分　四、學測社會級分
中華大學,景觀建築學系景觀設計組,國文,底標,3.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,55%,,,,,,,,,,一、面試二、學測國文級分三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、I、J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文級分
中華大學,景觀建築學系產品設計組,國文,底標,4.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,55%,,,,,,,,,,一、面試二、學測國文級分三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、I、J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文級分
明道大學,景觀與環境設計學系,國文,--,--,英文,--,--,數學B,底標,3,,,,,,,*1.00,*2.00,*1.00,,,10%,審查資料,--,10%,面試,--,50%,,,,,,,,,,一、面試二、審查資料,項目：修課紀錄(A)、課程學習成果(E)、多元表現(G、H、I、N)、學習歷程自述(O) ,一、學測國文、英文、數學B之級分總和　二、學測數學B級分
國立中興大學,景觀與遊憩學士學位學程,國文,均標,5.0,英文,均標,5.0,數學A,均標,10.0,國英數A,--,4.0,,,,*1.00,*1.50,*1.00,--,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測數學A級分二、學測英文級分三、面試四、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、K、L、M、N)、學習歷程自述(O、P、Q)、其他(R.作品集) ,一、學測國文、英文、數學A之級分總和　二、學測數學A級分　三、學測英文級分
輔仁大學,景觀設計學系,國文,後標,--,英文,後標,--,社會,後標,--,國英社,--,3,,,,*1.00,*1.50,*1.00,--,,40%,審查資料,--,40%,面試,--,30%,,,,,,,,,,一、面試二、學測國英社級分總和三、學測英文級分四、學測國文級分,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(J、K、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、社會之級分總和
華梵大學,智慧生活設計學系創意產品與汽車設計組,國文,底標,3.5,,,,,,,,,,,,,*1.00,,,,,30%,審查資料,--,30%,面談,--,40%,,,,,,,,,,一、面談,項目：修課紀錄(A)、課程學習成果(C)、多元表現(G、N)、學習歷程自述(Q) ,一、學測國文級分
華梵大學,智慧生活設計學系空間設計組,國文,底標,3.0,,,,,,,,,,,,,*1.00,,,,,30%,審查資料,--,30%,面談,--,40%,,,,,,,,,,一、面談,項目：修課紀錄(A)、課程學習成果(C)、多元表現(G、N)、學習歷程自述(Q) ,一、學測國文級分
實踐大學,服裝設計學系(臺北校區),國文,--,--,英文,後標,--,數學B,--,--,社會,--,--,國英數B社,--,3,*1.00,*2.00,*1.00,*1.00,--,40%,審查資料,--,40%,術科：創意設計,70分,15%,作品集面試,--,20%,,,,,,,一、作品集面試二、術科：創意設計三、學測國英數B社級分總和,項目：多元表現(F、N) ,一、學測國文、英文、數學B、社會之級分總和　二、學測英文級分　三、學測國文級分　四、學測數學B級分
實踐大學,服飾設計與經營學系品牌經營與行銷組(高雄校區),國文,底標,4.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,一、面試,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、K、N)、學習歷程自述(P、Q) ,一、學測國文級分
實踐大學,服飾設計與經營學系服裝與配件設計組(高雄校區),社會,底標,3.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,一、面試,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(G、H、K、M、N)、學習歷程自述(P、Q) ,一、學測社會級分
實踐大學,服飾設計與經營學系藝術創作設計組(高雄校區),國文,--,15.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,50%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、K、N)、學習歷程自述(P、Q) ,一、學測國文級分
國立臺南藝術大學,材質創作與設計系,國文,--,--,英文,--,--,社會,--,--,,,,,,,*2.00,*1.50,*1.50,,,30%,審查資料,--,30%,面試：現場實作及口試,--,30%,,,,,,,,,,素描,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、K、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、社會之級分總和
國立臺灣海洋大學,海洋文創設計產業學士學位學程,國文,均標,6,英文,後標,8,社會,後標,--,國英數B社,--,3.5,,,,*2.00,*1.00,*1.00,--,,50%,審查資料,--,50%,面試,--,30%,,,,,,,,,,一、學測國文級分二、學測英文級分三、學測社會級分四、學測國英數B社級分總和,項目：修課紀錄(A)、課程學習成果(B、C、E)、多元表現(G、H、J、N)、學習歷程自述(O、P、Q)、其他(R.其他有利審查資料) ,一、學測國文、英文、數學B、社會之級分總和
國立清華大學,清華學院學士班甲組(不分系招生–創新設計),國文,均標,--,英文,前標,5,數學A,均標,--,自然,均標,--,英數A,--,6,--,--,--,--,--,0%,審查資料,--,0%,面試,--,30%,創意設計,--,25%,,,,,,,一、面試二、創意設計三、審查資料,項目：修課紀錄(A)、課程學習成果(B、C、D)、多元表現(F、J、M、N)、學習歷程自述(O、P、Q) ,一、學測國文、英文、數學A、自然之級分總和
佛光大學,產品與媒體設計學系（創意產品設計組）,國文,--,5.0,社會,--,10.0,,,,,,,,,,--,--,,,,0%,審查資料,--,0%,面試,--,70%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P) ,一、學測國文、社會之級分總和
佛光大學,產品與媒體設計學系（商業媒體設計組）,國文,--,10.0,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,70%,,,,,,,,,,--,項目：修課紀錄(A)、課程學習成果(B)、多元表現(F、N)、學習歷程自述(P) ,一、學測國文級分
南華大學,產品與室內設計學系,國文,底標,10.0,,,,,,,,,,,,,*1.00,,,,,30%,審查資料,--,30%,面試,--,40%,,,,,,,,,,一、面試二、審查資料三、學測國文級分,項目：修課紀錄(A)、課程學習成果(C)、多元表現(F、G、M、N)、學習歷程自述(P、Q)、其他(R.中文自傳、S.其它有利審查資料) ,一、學測國文級分
南華大學,產品與室內設計學系(青年儲蓄帳戶組),國文,底標,--,,,,,,,,,,,,,--,,,,,0%,審查資料,--,0%,面試,--,30%,,,,,,,,,,一、面試二、審查資料,項目：修課紀錄(A)、課程學習成果(B、C)、多元表現(F、G、J、M、N)、學習歷程自述(O、P、Q)、其他(R.體驗學習報告及雙週誌) ,(無)
